,Date,Tries,Word,Time,Got it,Day
51,11/12/22,3.0,Valet,4:27 PM,Yes,Saturday
52,11/13/22,6.0,Inane,4:14 PM,Yes,Sunday
53,11/14/22,5.0,Maple,9:03 AM,Yes,Monday
54,11/15/22,4.0,Snarl,11:14 PM,Yes,Tuesday
55,11/16/22,6.0,Baker,7:47 AM,No,Wednesday
56,11/17/22,2.0,There,11:19 AM,Yes,Thursday
57,11/18/22,6.0,Glyph,9:17 AM,No,Friday
58,11/19/22,2.0,Avert,9:07 AM,Yes,Saturday
59,11/21/22,6.0,Axiom,8:41 AM,Yes,Monday
60,11/22/22,5.0,Prime,1:49 PM,Yes,Tuesday
61,11/23/22,4.0,Drive,5:32 AM,Yes,Wednesday
62,11/26/22,4.0,Clean,2:26 PM,Yes,Saturday
63,11/27/22,2.0,Happy,11:49 AM,Yes,Sunday
64,11/28/22,4.0,Tepid,9:01 AM,Yes,Monday
65,11/29/22,5.0,Undue,10:05 PM,Yes,Tuesday
66,11/30/22,6.0,Study,9:07 AM,No,Wednesday
67,12/1/22,6.0,Exert,9:24 AM,No,Thursday
68,12/2/22,4.0,Chafe,9:51 AM,Yes,Friday
69,12/3/22,4.0,Torso,12:22 AM,Yes,Saturday
70,12/4/22,4.0,Adore,11:02 AM,Yes,Sunday
71,12/5/22,5.0,Woken,9:00 AM,Yes,Monday
72,12/6/22,5.0,Amber,11:17 AM,Yes,Tuesday
73,12/7/22,6.0,Joust,9:05 AM,No,Wednesday
74,12/8/22,6.0,Under,9:11 AM,No,Thursday
75,12/9/22,6.0,Braid,9:05 AM,No,Friday
76,12/10/22,6.0,Knock,5:02 PM,No,Saturday
77,12/11/22,6.0,Naive,7:12 PM,Yes,Sunday
78,12/12/22,5.0,Apply,8:35 AM,Yes,Monday
79,12/13/22,4.0,Spoke,2:23 PM,Yes,Tuesday
80,12/14/22,5.0,Usual,3:23 PM,Yes,Wednesday
81,12/15/22,3.0,Rival,7:26 AM,Yes,Thursday
82,12/16/22,4.0,Probe,9:04 AM,Yes,Friday
83,12/18/22,4.0,Taper,10:10 AM,Yes,Sunday
84,12/19/22,4.0,Slate,6:10 PM,Yes,Monday
85,12/21/22,3.0,Lunar,9:23 PM,Yes,Wednesday
86,12/22/22,5.0,Excel,7:17 PM,Yes,Thursday
87,12/25/22,2.0,Extra,11:13 AM,Yes,Sunday
88,12/26/22,6.0,Judge,11:49 AM,No,Monday
89,12/27/22,6.0,Condo,11:36 AM,No,Tuesday
90,12/28/22,5.0,Impel,4:27 PM,Yes,Wednesday
91,12/30/22,5.0,Molar,12:40 AM,Yes,Friday
92,1/1/23,5.0,Whine,10:03 AM,Yes,Sunday
93,1/2/23,4.0,Skirt,11:02 AM,Yes,Monday
94,1/4/23,5.0,Layer,7:11 PM,Yes,Wednesday
95,1/5/23,3.0,Sleek,12:03 PM,Yes,Thursday
96,1/7/23,4.0,Lemon,3:41 PM,Yes,Saturday
97,1/12/23,4.0,Leapt,2:37 PM,Yes,Thursday
98,1/15/23,3.0,Spire,10:25 AM,Yes,Sunday
99,1/16/23,6.0,Frock,4:27 PM,Yes,Monday
100,1/17/23,6.0,Adopt,10:17 AM,Yes,Tuesday
101,1/18/23,6.0,Chard,12:58 PM,Yes,Wednesday
102,1/19/23,6.0,Mucky,9:21 AM,Yes,Thursday
103,1/20/23,6.0,Alter,2:08 PM,Yes,Friday
104,1/21/23,6.0,Blurb,12:05 PM,No,Saturday
105,1/22/23,5.0,Matey,1:58 AM,Yes,Sunday
106,1/23/23,6.0,Elude,9:56 AM,Yes,Monday
107,1/25/23,5.0,Maize,2:08 PM,Yes,Wednesday
108,1/26/23,6.0,Beefy,9:06 AM,Yes,Thursday
109,1/27/23,3.0,Worry,12:54 AM,Yes,Friday
110,1/28/23,4.0,Flirt,4:25 PM,Yes,Saturday
111,1/29/23,4.0,Fishy,12:42 PM,Yes,Sunday
112,1/30/23,3.0,Crave,8:54 AM,Yes,Monday
113,1/31/23,6.0,Cross,8:38 AM,Yes,Tuesday
